number components; knn; acc score; f1 score; roc score; time
17,0000;24,0000;0,0304;0,0338;0,0299;1,0579
17,0000;25,0000;0,0230;0,0252;0,0227;0,8307
18,0000;1,0000;0,0327;0,0554;0,0320;2,9383
18,0000;2,0000;0,0325;0,0377;0,0322;11,6420
18,0000;3,0000;0,0277;0,0321;0,0274;6,3649
18,0000;4,0000;0,0275;0,0325;0,0271;5,6811
18,0000;5,0000;0,0219;0,0259;0,0216;4,8321
18,0000;6,0000;0,0294;0,0361;0,0288;4,0347
18,0000;7,0000;0,0272;0,0326;0,0266;2,7291
18,0000;8,0000;0,0249;0,0294;0,0245;3,1017
18,0000;9,0000;0,0248;0,0292;0,0243;2,2960
18,0000;10,0000;0,0276;0,0307;0,0272;1,8874
18,0000;11,0000;0,0273;0,0353;0,0266;2,2969
18,0000;12,0000;0,0265;0,0312;0,0260;1,6547
18,0000;13,0000;0,0308;0,0369;0,0302;1,9736
18,0000;14,0000;0,0250;0,0297;0,0245;1,7994
18,0000;15,0000;0,0286;0,0359;0,0279;1,4015
18,0000;16,0000;0,0265;0,0322;0,0258;1,2328
18,0000;17,0000;0,0307;0,0390;0,0299;1,4288
18,0000;18,0000;0,0258;0,0314;0,0252;1,7938
18,0000;19,0000;0,0238;0,0295;0,0232;1,2908
18,0000;20,0000;0,0275;0,0330;0,0269;1,2724
18,0000;21,0000;0,0289;0,0336;0,0283;1,1990
18,0000;22,0000;0,0242;0,0277;0,0238;1,1840
18,0000;23,0000;0,0294;0,0353;0,0287;0,9850
18,0000;24,0000;0,0283;0,0306;0,0279;1,1568
18,0000;25,0000;0,0300;0,0360;0,0294;1,1811
19,0000;1,0000;0,0300;0,0465;0,0297;4,9502
19,0000;2,0000;0,0318;0,0332;0,0318;10,1363
19,0000;3,0000;0,0275;0,0313;0,0271;5,4937
19,0000;4,0000;0,0289;0,0332;0,0285;6,1149
19,0000;5,0000;0,0269;0,0335;0,0263;4,8806
19,0000;6,0000;0,0287;0,0363;0,0280;3,8659
19,0000;7,0000;0,0262;0,0331;0,0255;2,5718
19,0000;8,0000;0,0266;0,0332;0,0260;2,0909
19,0000;9,0000;0,0295;0,0359;0,0288;2,0870
19,0000;10,0000;0,0271;0,0325;0,0266;2,8279
19,0000;11,0000;0,0217;0,0271;0,0212;1,6422
