knn,comp,acc,f_score,roc,time
10,1,0.5511,0.5714,0.5503,7.781
10,1,0.6387,0.64,0.6389,6.448
10,1,0.5474,0.5753,0.5463,6.986
10,1,0.5803,0.5693,0.5811,4.0059
10,1,0.573,0.5952,0.5721,7.675
10,1,0.6058,0.6301,0.6047,8.04
10,1,0.5949,0.6105,0.5943,9.914
10,1,0.6131,0.6187,0.6131,6.432
10,1,0.5803,0.5848,0.5803,7.6784
10,1,0.5365,0.5097,0.538,4.461
10,1,0.5292,0.5309,0.5294,10.0165
10,1,0.6058,0.6197,0.6053,7.204
10,1,0.6058,0.6224,0.6052,4.666
10,1,0.5657,0.602,0.564,4.9711
10,1,0.6131,0.649,0.6112,5.307
10,1,0.6131,0.6187,0.6131,10.264
10,1,0.5985,0.6405,0.5963,4.935
10,1,0.5803,0.5878,0.5802,7.701
10,1,0.6168,0.6263,0.6165,5.825
11,1,0.573,0.5339,0.5751,6.194
11,1,0.5693,0.5755,0.5693,6.4061
11,1,0.6204,0.6338,0.6199,7.7019
11,1,0.635,0.6403,0.635,3.577
11,1,0.5474,0.5267,0.5487,5.111
11,1,0.5328,0.5188,0.5337,6.457
11,1,0.5985,0.6358,0.5966,9.66
11,1,0.5657,0.5825,0.5651,4.009
11,1,0.5912,0.6056,0.5907,4.079
11,1,0.6204,0.6338,0.6199,5.926
11,1,0.5146,0.5552,0.5128,6.553
11,1,0.5584,0.5784,0.5576,3.82
11,1,0.5912,0.5971,0.5912,9.5
11,1,0.5693,0.5816,0.569,8.121
11,1,0.6642,0.6933,0.6625,8.282
11,1,0.5839,0.6346,0.5812,7.981
11,1,0.6387,0.6526,0.6381,6.495
11,1,0.573,0.6113,0.5711,4.4
11,1,0.6095,0.6445,0.6076,4.374
11,1,0.6277,0.6165,0.6287,6.3145
11,1,0.5401,0.55,0.5399,8.833
11,1,0.5912,0.5725,0.5925,3.589
11,1,0.6387,0.64,0.6389,5.4109
11,1,0.6131,0.6467,0.6114,7.476
11,1,0.5766,0.6081,0.5752,4.339
11,1,0.5949,0.6288,0.5932,8.823
11,1,0.5547,0.5547,0.555,6.915
11,1,0.5073,0.5091,0.5075,7.506
11,1,0.5584,0.5568,0.5587,5.873
11,1,0.5912,0.634,0.589,9.405
11,1,0.5401,0.55,0.5399,6.92
11,1,0.562,0.5833,0.5612,4.728
11,1,0.6058,0.6,0.6064,5.31
11,1,0.5912,0.6267,0.5894,5.674
11,1,0.5365,0.5695,0.5351,9.465
11,1,0.5511,0.5831,0.5497,8.293
11,1,0.5876,0.5799,0.5883,8.0935
11,1,0.6131,0.6443,0.6115,6.486
11,1,0.5912,0.5912,0.5915,3.478
11,1,0.6314,0.6406,0.6311,6.329
11,1,0.5584,0.5535,0.5589,6.338
11,1,0.6277,0.6577,0.6261,4.7809
11,1,0.5803,0.6021,0.5794,8.759
11,1,0.5511,0.6261,0.547,7.2362
11,1,0.5839,0.5547,0.5857,7.411
11,1,0.6131,0.6241,0.6128,3.656
11,1,0.6095,0.6492,0.6073,6.575
11,1,0.5876,0.5799,0.5883,5.99
11,1,0.5547,0.5704,0.5542,5.212
11,1,0.5876,0.5979,0.5873,4.856
12,1,0.5766,0.5857,0.5764,4.3803
12,1,0.5474,0.5118,0.5493,6.12
12,1,0.6131,0.6294,0.6125,6.0906
12,1,0.5803,0.5965,0.5797,5.8101
12,1,0.6314,0.6529,0.6303,6.492
12,1,0.5803,0.5993,0.5795,4.7526
12,1,0.573,0.5866,0.5725,3.79
12,1,0.6095,0.5962,0.6105,5.495
12,1,0.573,0.5866,0.5725,3.756
12,1,0.6058,0.6029,0.6063,7.524
12,1,0.6569,0.6908,0.6549,8.422
12,1,0.6168,0.6182,0.617,4.854
12,1,0.6058,0.6197,0.6053,6.34
12,1,0.5657,0.5882,0.5648,6.853
12,1,0.5584,0.5694,0.5581,5.7341
12,1,0.6058,0.617,0.6055,7.601
12,1,0.6241,0.6436,0.6232,5.145
12,1,0.5949,0.5993,0.5949,4.497
12,1,0.6095,0.6165,0.6094,4.766
12,1,0.5766,0.6,0.5756,5.663
12,1,0.5912,0.6028,0.5909,9.601
12,1,0.6204,0.6286,0.6203,5.879
12,1,0.5839,0.6042,0.5831,8.746
12,1,0.6022,0.6355,0.6005,6.371
12,1,0.5949,0.5843,0.5957,3.906
12,1,0.6387,0.6598,0.6376,5.482
12,1,0.5949,0.5934,0.5953,9.215
12,1,0.635,0.6403,0.635,3.78
12,1,0.573,0.6034,0.5716,6.523
12,1,0.5876,0.5979,0.5873,7.909
12,1,0.5839,0.5899,0.5839,7.452
12,1,0.6314,0.6217,0.6322,6.088
12,1,0.6241,0.6084,0.6253,5.292
12,1,0.573,0.5651,0.5737,8.226
12,1,0.6314,0.6456,0.6308,6.286
12,1,0.5474,0.5753,0.5463,5.078
12,1,0.6241,0.6667,0.6216,7.562
12,1,0.635,0.6032,0.6371,4.78
12,1,0.5912,0.634,0.589,3.925
12,1,0.6058,0.6301,0.6047,4.994
12,1,0.5547,0.5379,0.5558,4.594
12,1,0.6131,0.6319,0.6123,4.2116
12,1,0.573,0.5776,0.573,7.759
12,1,0.5657,0.5475,0.5668,5.772
12,1,0.5584,0.5694,0.5581,4.341
12,1,0.5657,0.6047,0.5638,4.326
12,1,0.5803,0.5907,0.58,3.902
12,1,0.6423,0.6573,0.6417,5.299
12,1,0.5839,0.5986,0.5834,3.116
